MeSH Disease Term	PubMed occurrence
Breast Neoplasms	122226
Hypertension	107294
Coronary Artery Disease	82819
Lung Neoplasms	78009
Myocardial Infarction	75945
HIV Infections	66601
Coronary Disease	64339
Asthma	63669
Adenocarcinoma	60855
Dementia	55782
Prostatic Neoplasms	54606
Skin Neoplasms	53590
Obesity	50477
Carcinoma, Squamous Cell	50241
Pain	49599
Liver Neoplasms	49005
Arthritis, Rheumatoid	48854
Schizophrenia	46537
Diabetes Mellitus, Type 2	46242
Brain Neoplasms	45792
Heart Failure	44310
Postoperative Complications	41449
Kidney Failure, Chronic	41060
Alzheimer Disease	39668
Diabetes Mellitus	38441
Stomach Neoplasms	37871
Diabetes Mellitus, Type 1	37268
Ovarian Neoplasms	36081
Melanoma	35939
Kidney Diseases	35339
Myocardial Ischemia	35295
Depressive Disorder	34054
Epilepsy	33135
Carcinoma	32097
Cerebral Infarction	32039
Tuberculosis, Pulmonary	31919
Acquired Immunodeficiency Syndrome	31241
Uterine Cervical Neoplasms	31050
Lung Diseases	30739
Kidney Neoplasms	30523
Alcoholism	30471
Colorectal Neoplasms	30458
Carcinoma, Hepatocellular	30294
Colonic Neoplasms	28456
Parkinson Disease	28193
Bacterial Infections	28042
Liver Diseases	28019
Pancreatic Neoplasms	27850
Lupus Erythematosus, Systemic	27647
Dog Diseases	27332
Arteriosclerosis	26436
Liver Cirrhosis	25739
Arrhythmias, Cardiac	25575
Skin Diseases	25481
Brain Diseases	25422
Leukemia	25404
Multiple Sclerosis	24939
Substance-Related Disorders	24920
Urinary Bladder Neoplasms	24614
Inflammation	24475
Heart Diseases	24032
Pregnancy Complications	23765
Lymphoma	23467
Cognition Disorders	23227
Thrombosis	23009
Head and Neck Neoplasms	22321
Stroke	22261
Autoimmune Diseases	22187
Cattle Diseases	22042
Pancreatitis	21934
Bone Neoplasms	21928
Brain Injuries	21659
Osteoporosis	20961
Sepsis	20695
Brain Ischemia	20513
Thyroid Neoplasms	20507
Burns	20448
Hepatitis C	20364
Diabetes Mellitus, Experimental	19998
Cerebrovascular Disorders	19754
Adenoma	18992
Cystic Fibrosis	18917
Multiple Myeloma	18601
Neoplasms, Experimental	18564
Tuberculosis	18526
Hodgkin Disease	18508
Carcinoma, Non-Small-Cell Lung	18429
Ischemia	18355
Seizures	18338
Uterine Neoplasms	18245
Esophageal Neoplasms	17855
Leukemia, Myeloid, Acute	17814
Staphylococcal Infections	17801
Acute Kidney Injury	17766
Psoriasis	17618
Crohn Disease	17462
Lymphoma, Non-Hodgkin	17427
Bipolar Disorder	17414
Hemorrhage	17240
Abnormalities, Multiple	16849
