	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
0	Breast Neoplasms	122226	D001943
1	Hypertension	107294	D006973
2	Coronary Artery Disease	82819	D003324
3	Lung Neoplasms	78009	D008175
4	Myocardial Infarction	75945	D009203
5	HIV Infections	66601	D015658
6	Coronary Disease	64339	D003327
7	Asthma	63669	D001249
8	Adenocarcinoma	60855	D000230
9	Dementia	55782	D003704
10	Prostatic Neoplasms	54606	D011471
11	Skin Neoplasms	53590	D012878
12	Obesity	50477	D009765
13	Carcinoma, Squamous Cell	50241	D002294
14	Pain	49599	D010146
15	Liver Neoplasms	49005	D008113
16	Arthritis, Rheumatoid	48854	D001172
17	Schizophrenia	46537	D012559
18	Diabetes Mellitus, Type 2	46242	D003924
19	Brain Neoplasms	45792	D001932
20	Heart Failure	44310	D006333
21	Postoperative Complications	41449	D011183
22	Kidney Failure, Chronic	41060	D007676
23	Alzheimer Disease	39668	D000544
24	Diabetes Mellitus	38441	D003920
25	Stomach Neoplasms	37871	D013274
26	Diabetes Mellitus, Type 1	37268	D003922
27	Ovarian Neoplasms	36081	D010051
28	Melanoma	35939	D008545
29	Kidney Diseases	35339	D007674
30	Myocardial Ischemia	35295	D017202
31	Depressive Disorder	34054	D003866
32	Epilepsy	33135	D004827
33	Carcinoma	32097	D002277
34	Cerebral Infarction	32039	D002544
35	Tuberculosis, Pulmonary	31919	D014397
36	Acquired Immunodeficiency Syndrome	31241	D000163
37	Uterine Cervical Neoplasms	31050	D002583
38	Lung Diseases	30739	D008171
39	Kidney Neoplasms	30523	D007680
40	Alcoholism	30471	D000437
41	Colorectal Neoplasms	30458	D015179
42	Carcinoma, Hepatocellular	30294	D006528
43	Colonic Neoplasms	28456	D003110
44	Parkinson Disease	28193	D010300
45	Bacterial Infections	28042	D001424
46	Liver Diseases	28019	D008107
47	Pancreatic Neoplasms	27850	D010190
48	Lupus Erythematosus, Systemic	27647	D008180
49	Dog Diseases	27332	D004283
50	Arteriosclerosis	26436	D001161
51	Liver Cirrhosis	25739	D008103
52	Arrhythmias, Cardiac	25575	D001145
53	Skin Diseases	25481	D012871
54	Brain Diseases	25422	D001927
55	Leukemia	25404	D007938
56	Multiple Sclerosis	24939	D009103
57	Substance-Related Disorders	24920	D019966
58	Urinary Bladder Neoplasms	24614	D001749
59	Inflammation	24475	D007249
60	Heart Diseases	24032	D006331
61	Pregnancy Complications	23765	D011248
62	Lymphoma	23467	D008223
63	Cognition Disorders	23227	D003072
64	Thrombosis	23009	D013927
65	Head and Neck Neoplasms	22321	D006258
66	Stroke	22261	D020521
67	Autoimmune Diseases	22187	D001327
68	Cattle Diseases	22042	D002418
69	Pancreatitis	21934	D010195
70	Bone Neoplasms	21928	D001859
71	Brain Injuries	21659	D001930
72	Osteoporosis	20961	D010024
73	Sepsis	20695	D018805
74	Brain Ischemia	20513	D002545
